accX	accY	accZ	time	state
1.1995317	0.71588814	9.871595	1567954085907	none
1.1660118	0.8356019	9.529214	1567954086013	none
1.3862851	0.82123625	9.91948	1567954086120	none
1.3958622	0.7302538	9.780613	1567954086226	none
1.2258687	0.84039044	9.553157	1567954086332	none
1.3814965	0.7326481	9.581888	1567954086437	none
1.1827718	0.888276	9.9889145	1567954086551	none
1.2402344	0.82602483	10.055954	1567954086664	none
1.3982565	0.7733508	10.08708	1567954086771	none
1.1995317	0.8475733	9.943423	1567954086887	none
1.3431882	0.8332076	9.627379	1567954087004	none
1.1995317	0.74701375	10.0200405	1567954087121	none
1.350371	0.7972935	9.80695	1567954087240	none
1.2737542	0.77574503	9.77343	1567954087355	none
1.3264283	0.7589851	9.629773	1567954087469	none
1.2522057	0.4644893	10.005674	1567954087588	none
1.333611	0.55786604	10.240314	1567954087702	none
1.6305012	0.46209505	9.974549	1567954087821	none
1.5395187	0.4285752	9.976943	1567954087937	none
1.5275474	0.17717634	10.07032	1567954088053	none
1.359948	0.27294734	10.884374	1567954088166	none
1.8411974	0.021548472	10.288198	1567954088281	none
1.5036045	0.19393626	10.067925	1567954088397	none
1.4221992	0.38547826	9.98652	1567954088506	none
1.4126221	0.43096948	9.766247	1567954088621	none
1.3072741	0.34956414	9.608225	1567954088734	none
1.1396748	0.44054657	9.603436	1567954088849	none
0.9960183	0.2753416	9.567522	1567954088956	none
1.0151725	0.43096948	9.79019	1567954089072	none
1.0055954	0.3232271	9.833286	1567954089185	none
1.0439038	0.4070267	9.850046	1567954089300	none
0.82602483	0.43815228	9.613013	1567954089414	none
1.0008069	0.5889916	9.931452	1567954089529	none
0.97446984	0.4740664	9.857229	1567954089644	none
0.96489275	0.4070267	9.735122	1567954089757	none
0.9792584	0.6560313	9.536397	1567954089872	none
0.9624985	0.6344828	9.620196	1567954089989	none
0.9289786	0.7541966	9.818921	1567954090106	none
0.9026416	0.8786988	9.4142885	1567954090222	none
0.89067024	0.7015225	9.433443	1567954090336	none
0.92658436	0.49082634	9.694419	1567954090452	none
0.9505271	0.43096948	9.438231	1567954090565	none
1.010384	0.54350036	10.125388	1567954090684	none
1.0199611	0.56744313	9.926663	1567954090798	none
1.0822122	0.50998056	9.368797	1567954090913	none
1.0151725	0.18914771	9.620196	1567954091066	none
0.888276	0.090982445	8.370385	1567954091181	none
1.1229149	0.08858817	8.61939	1567954091298	none
0.9864412	-0.0670397	8.940222	1567954091415	none
0.90982443	-0.05027977	8.892337	1567954091530	none
0.9217958	0.043096945	9.213169	1567954091645	none
0.86193895	0.3040729	10.091868	1567954091761	none
1.4868447	0.2753416	9.387952	1567954091875	none
1.0008069	0.0670397	9.857229	1567954091990	none
1.350371	0.07422252	9.517242	1567954092105	none
1.2402344	0.07901107	9.7135725	1567954092225	none
1.1684061	0.16041641	9.495694	1567954092338	none
1.4485363	-0.016759925	9.498088	1567954092459	none
1.23784	0.05506832	9.950606	1567954092573	none
1.2426286	-0.043096945	9.850046	1567954092693	none
1.1612233	-0.062251143	9.996098	1567954092809	none
1.0774237	-0.021548472	10.027223	1567954092922	none
0.94573855	-0.17478207	9.814133	1567954093037	none
1.0678465	-0.028731298	9.553157	1567954093155	none
1.1037607	-0.038308397	9.648928	1567954093269	none
1.0726352	-0.14365649	9.797373	1567954093382	none
1.1444633	-0.014365649	9.732727	1567954093497	none
0.93616146	-0.21548474	10.084685	1567954093612	none
1.0439038	-0.26337022	9.632168	1567954093726	none
1.0606637	-0.25379312	9.893144	1567954093844	none
0.96489275	-0.24900457	9.852441	1567954093958	none
0.94095	-0.30646718	9.725544	1567954094073	none
1.0199611	-0.339987	9.960183	1567954094190	none
1.0558752	-0.2083019	9.972155	1567954094301	none
0.93616146	-0.27294734	10.05356	1567954094419	none
1.1229149	-0.26097596	10.108628	1567954094534	none
1.1277034	-0.22506183	10.10384	1567954094650	none
1.2091088	-0.29928434	9.749487	1567954094766	none
1.1612233	-0.15083931	10.288198	1567954094883	none
1.1708003	-0.102953814	9.708784	1567954094996	none
1.1109436	-0.2753416	9.555551	1567954095110	none
1.0846065	-0.1699935	9.641745	1567954095231	none
1.0750294	-0.07422252	9.715967	1567954095344	none
1.1396748	-0.13168511	9.526819	1567954095458	none
1.0702409	-0.15083931	9.725544	1567954095573	none
1.0079896	-0.035914123	9.838076	1567954095688	none
1.0079896	-0.13886794	10.108628	1567954095816	none
1.036721	-0.13647367	10.096657	1567954095933	none
1.0558752	-0.09577099	9.893144	1567954096047	none
1.0702409	-0.016759925	9.818921	1567954096163	none
1.0127783	-0.16520496	9.8237095	1567954096281	none
1.063058	-0.15562786	10.156514	1567954096399	none
1.0151725	-0.18196489	10.115811	1567954096515	none
1.0127783	-0.15083931	9.926663	1567954096638	none
0.99362403	-0.071828246	9.574705	1567954096752	none
1.0343267	-0.11971374	9.366403	1567954096866	none
0.95531565	-0.22506183	9.58907	1567954096982	none
1.0534809	-0.16759923	9.804555	1567954097099	none
0.9792584	-0.22027329	10.0368	1567954097213	none
1.0965779	-0.12450229	9.818921	1567954097332	none
1.0917894	-0.18675344	9.73991	1567954097447	none
0.967287	-0.057462595	9.708784	1567954097562	none
1.1037607	-0.13647367	9.725544	1567954097677	none
1.0726352	-0.17717634	9.809344	1567954097793	none
1.0032011	-0.17238778	10.024829	1567954097907	none
1.1037607	-0.16281068	10.127783	1567954098021	none
1.2737542	-0.13168511	9.938635	1567954098135	none
1.3719195	-0.23224466	9.907509	1567954098251	none
1.1875603	-0.08619389	10.144543	1567954098363	none
1.4509305	0.0	9.675264	1567954098473	none
1.8340145	-0.18675344	9.423865	1567954098584	none
1.6496553	-0.12929083	9.699207	1567954098694	none
1.6448668	-0.17717634	9.850046	1567954098805	none
1.637684	-0.05027977	9.70639	1567954098913	none
1.3096683	-0.18914771	10.096657	1567954099023	none
1.350371	-0.009577099	9.802161	1567954099126	none
1.2043202	-0.10055954	9.957788	1567954099229	none
1.6807809	0.06464542	9.435837	1567954099333	none
