gyrX	gyrY	gyrZ	time	state
-0.0012534955	0.03362996	0.038248103	1567954245466	none
0.07388293	-0.0952626	0.038858972	1567954245570	none
0.16978878	-0.16490124	-0.038720917	1567954245674	none
0.078769855	0.11670763	0.012591765	1567954245779	none
-0.06417262	-0.07204972	-0.08148149	1567954245883	none
-0.060507424	0.18329194	-0.0039015964	1567954245987	none
0.04700486	0.018969199	0.060239255	1567954246091	none
-6.426302E-4	-0.046393383	0.04130243	1567954246195	none
0.029289767	0.06478409	0.09261511	1567954246300	none
0.03173323	-0.018904448	0.022365611	1567954246404	none
-0.0067512826	0.11609677	0.09200425	1567954246509	none
-0.011638205	0.18756801	0.048632815	1567954246615	none
-0.08249857	-0.21987912	-0.14684407	1567954246720	none
-0.07883338	0.2755326	0.20134912	1567954246836	none
-0.008583878	0.17046377	-0.02894707	1567954246952	none
-0.29446882	0.27003482	-0.0460513	1567954247068	none
-0.2987449	0.10937726	-0.12607464	1567954247183	none
-0.18878913	0.20955916	-0.09736398	1567954247293	none
-0.23093882	0.119761966	-0.039942645	1567954247402	none
0.07571552	6.432411E-4	0.08650646	1567954247506	none
0.03417669	-0.23209642	-0.014286306	1567954247613	none
0.03417669	-0.051280305	0.10910848	1567954247719	none
0.24981211	-0.1447427	-0.035055727	1567954247823	none
0.13558032	-0.09587347	0.13048875	1567954247927	none
0.089154564	-0.056167226	0.028474262	1567954248034	none
0.03417669	0.043403808	0.08650646	1567954248140	none
0.08793283	0.0024758368	-0.054603413	1567954248244	none
0.03417669	-0.061054148	0.0681805	1567954248349	none
-0.03424022	0.13930964	0.07367829	1567954248456	none
-0.025688104	-0.050058573	-0.094920516	1567954248562	none
-0.017746856	-0.067162804	0.015035226	1567954248668	none
0.01340727	-0.080601834	-0.037499182	1567954248773	none
0.02501371	-0.0030219504	0.07612175	1567954248878	none
-6.426302E-4	0.00980622	-0.009399383	1567954248983	none
-0.06295089	0.028132178	-0.06620985	1567954249089	none
-0.014081666	0.07150361	0.025419936	1567954249197	none
-0.135033	-0.0030219504	0.06695877	1567954249302	none
-0.15274808	0.017136602	0.018700419	1567954249408	none
0.014629001	0.11365331	-0.008177653	1567954249514	none
-0.011027339	-0.15818171	0.007093978	1567954249619	none
-0.004918687	0.08249918	0.15186903	1567954249726	none
-0.0018643606	0.16435513	-0.11385734	1567954249831	none
0.011574674	-0.15879259	-0.036277454	1567954249935	none
-0.02263378	-0.033565212	0.06879137	1567954250039	none
0.021959383	0.028743042	0.022365611	1567954250143	none
-0.06722695	0.005530163	0.027863396	1567954250248	none
0.092208885	-0.15879259	-0.11507907	1567954250354	none
0.1710105	-0.05555636	0.112773664	1567954250459	none
0.058611296	-0.024402233	-0.03933178	1567954250563	none
0.026846306	-0.15512739	0.029695991	1567954250668	none
-0.08249857	-0.064108476	0.16408636	1567954250774	none
-0.2138346	0.35066903	0.090782516	1567954250879	none
-0.21933238	0.17229638	0.11094107	1567954250984	none
-0.0024752258	0.219333	0.2758747	1567954251090	none
0.028678901	-0.20888354	-0.11874426	1567954251195	none
0.10625879	-0.10198212	-0.13279416	1567954251302	none
0.40741533	-0.33594352	0.23311412	1567954251408	none
-0.16618712	0.2810304	0.016256956	1567954251513	ARRIVING
-0.055620503	0.031797368	-0.026503611	1567954251617	none
0.025624575	0.015304007	-0.027725343	1567954251721	none
0.021959383	0.0024758368	0.029085128	1567954251825	none
-0.026909836	0.009195355	0.049854547	1567954251932	none
0.054946106	-0.06594107	0.012591765	1567954252039	none
0.042117935	-0.14413182	-0.03566659	1567954252150	none
-0.0018643606	0.043403808	0.041913297	1567954252262	none
0.05189178	-0.19788797	-0.10591609	1567954252376	none
-0.0061404174	-0.07143886	-0.116911665	1567954252493	none
-0.0036969564	-0.04333906	0.060239255	1567954252608	none
0.014018136	-0.021347908	0.029085128	1567954252724	none
0.10442619	0.057453707	-0.0032907312	1567954252839	none
0.09281976	-0.051280305	0.0028179213	1567954252954	none
0.048837457	0.11854023	-0.01245371	1567954253070	none
0.028678901	-0.0018002199	-0.030779667	1567954253186	none
0.05189178	-0.050058573	-0.015508035	1567954253301	none
0.040896207	0.03424083	-0.03811005	1567954253418	none
0.05372438	0.060508035	0.06207185	1567954253532	none
-0.08249857	0.005530163	0.011370035	1567954253650	none
-0.06722695	0.015914872	-0.030779667	1567954253766	none
-0.0873855	-0.005465411	-0.06132293	1567954253882	none
